Word,Rank
の,1
は,2
に,3
を,4
が,5
と,6
で,7
も,8
だ,9
か,10
よ,11
する,12
から,13
な,14
こと,15
です,16
ね,17
ある,18
言う,19
ん,20
なる,21
私,22
それ,23
その,24
って,25
ない,26
んだ,27
あ,28
この,29
そう,30
さん,31
見る,32
思う,33
何,34
でも,35
いい,36
俺,37
これ,38
には,39
いる,40
だった,41
だろう,42
わかる,43
ああ,44
だけ,45
もう,46
もの,47
行く,48
じゃない,49
けど,50
そんな,51
いや,52
し,53
来る,54
お,55
まで,56
あの,57
今,58
ここ,59
できる,60
やる,61
だから,62
なら,63
どう,64
時,65
はい,66
わ,67
んです,68
へ,69
ぞ,70
まだ,71
聞く,72
うん,73
ちょっと,74
知る,75
という,76
人,77
前,78
こんな,79
や,80
お前,81
待つ,82
よい,83
ところ,84
自分,85
なんて,86
また,87
ですか,88
なん,89
ように,90
出る,91
ため,92
本当,93
だって,94
とは,95
中,96
方,97
のに,98
はぁ,99
どこ,100
たち,101
今日,102
みんな,103
じゃあ,104
何か,105
あと,106
とか,107
こっち,108
さ,109
持つ,110
え,111
あれ,112
大丈夫,113
話,114
なんだ,115
ような,116
みたい,117
違う,118
まあ,119
より,120
そこ,121
早い,122
考える,123
入る,124
かな,125
様,126
あなた,127
二人,128
誰,129
なんか,130
一人,131
ええ,132
やつ,133
くらい,134
おい,135
帰る,136
悪い,137
目,138
ダメ,139
一緒,140
顔,141
ちゃん,142
くん,143
同じ,144
ただ,145
やめる,146
わけ,147
として,148
うち,149
なんだ,150
すごい,151
よく,152
まま,153
ので,154
しか,155
僕,156
会う,157
なの,158
使う,159
どうして,160
少し,161
もっと,162
作る,163
出す,164
見える,165
欲しい,166
そして,167
よね,168
好き,169
手,170
やっぱり,171
でしょう,172
らしい,173
男,174
で,175
戻る,176
だけど,177
ずっと,178
一つ,179
時間,180
ほら,181
取る,182
えっ,183
話す,184
死ぬ,185
いつも,186
ご,187
おお,188
どんな,189
ありがとう,190
見せる,191
君,192
ばかり,193
終わる,194
年,195
子,196
人間,197
呼ぶ,198
ごめん,199
声,200
つもり,201
ほど,202
食べる,203
すむ,204
こう,205
忘れる,206
かける,207
いける,208
家,209
頼む,210
次,211
体,212
気持ち,213
教える,214
どうした,215
他,216
仕事,217
上,218
あんた,219
本当に,220
今度,221
一番,222
う,223
無理,224
気,225
きっと,226
ことになる,227
うわ,228
よし,229
心配,230
いつ,231
さあ,232
誰か,233
一度,234
しかし,235
全部,236
生きる,237
日,238
ちゃんと,239
絶対,240
相手,241
全て,242
さっき,243
明日,244
まったく,245
どういう,246
入れる,247
かもしれない,248
私たち,249
いえ,250
怖い,251
だが,252
場所,253
女,254
初めて,255
最後,256
ことがある,257
あんな,258
逃げる,259
探す,260
強い,261
まさか,262
バカ,263
だったら,264
確か,265
嘘,266
つける,267
言葉,268
必要,269
ふふ,270
大変,271
はず,272
続ける,273
置く,274
あまり,275
くださる,276
始める,277
ぜ,278
名前,279
覚える,280
彼女,281
うまい,282
頑張る,283
動く,284
こそ,285
可愛い,286
いただく,287
頭,288
すぐ,289
そうか,290
なくなる,291
はっ,292
あいつ,293
飲む,294
もちろん,295
世界,296
嬉しい,297
許す,298
色々,299
もし,300
意味,301
どうぞ,302
もん,303
へえ,304
買う,305
方がいい,306
部屋,307
受ける,308
だ,309
子供,310
決める,311
助ける,312
昔,313
変わる,314
心,315
など,316
気づく,317
守る,318
せい,319
何も,320
多い,321
外,322
信じる,323
つく,324
力,325
全然,326
彼,327
なのに,328
楽しい,329
最初,330
そういう,331
一体,332
先生,333
別に,334
間,335
笑う,336
こいつ,337
なんで,338
頃,339
すぐに,340
過ぎる,341
かかる,342
起きる,343
書く,344
寝る,345
母,346
おかしい,347
それは,348
もらう,349
上げる,350
なぜ,351
綺麗,352
どっち,353
以上,354
ウッ,355
感じる,356
そっち,357
変,358
決まる,359
先に,360
面白い,361
とても,362
先,363
大事,364
問題,365
見つける,366
俺たち,367
じゃねー,368
夢,369
中,370
誰も,371
ありがとうございます,372
痛い,373
こういう,374
お願い,375
者,376
遅い,377
昨日,378
感じ,379
にとって,380
それだけ,381
乗る,382
結構,383
元気,384
いっぱい,385
ひどい,386
黙る,387
実は,388
聞こえる,389
そろそろ,390
とにかく,391
確かに,392
止める,393
うーん,394
夜,395
普通,396
残る,397
ごめんなさい,398
しよう,399
通り,400
開ける,401
音,402
新しい,403
ことができる,404
関係,405
今まで,406
思い出す,407
困る,408
よる,409
について,410
なるほど,411
人,412
しっかり,413
姿,414
長い,415
連れる,416
送る,417
高い,418
歩く,419
返す,420
元,421
怒る,422
最近,423
理由,424
一緒に,425
姉,426
向かう,427
それでも,428
べき,429
伝える,430
はずだ,431
別,432
口,433
慣れる,434
落ちる,435
フッ,436
わよ,437
うるさい,438
必ず,439
ところで,440
約束,441
泣く,442
お願いします,443
殺す,444
たくさん,445
簡単,446
えっと,447
つ,448
ー,449
始まる,450
続く,451
おいしい,452
開く,453
つまり,454
上がる,455
優しい,456
方,457
落ち着く,458
選ぶ,459
大きい,460
れる,461
でしょうか,462
任せる,463
大きな,464
せっかく,465
読む,466
にして,467
足,468
ようになる,469
消える,470
今回,471
幸せ,472
くれる,473
離れる,474
急に,475
切る,476
ではない,477
似る,478
ははは,479
立つ,480
道,481
あそこ,482
以外,483
友達,484
気になる,485
たぶん,486
危ない,487
邪魔,488
負ける,489
なんです,490
た,491
まず,492
かい,493
付き合う,494
願う,495
食う,496
十分,497
勝手に,498
分,499
朝,500
場合,501
ゆっくり,502
安心,503
名,504
終わり,505
なかなか,506
よろしく,507
さすが,508
近く,509
それじゃ,510
皆さん,511
変える,512
言える,513
じゃん,514
結局,515
見つかる,516
合う,517
下,518
捨てる,519
渡す,520
それも,521
いやいや,522
ふん,523
準備,524
諦める,525
やがる,526
いくら,527
隠す,528
ずいぶん,529
いつか,530
やっと,531
ことはない,532
連絡,533
しかも,534
喜ぶ,535
気がする,536
街,537
失礼,538
わけじゃない,539
まるで,540
存在,541
もしかして,542
三人,543
止まる,544
勝つ,545
驚く,546
あら,547
仕方ない,548
ある,549
しばらく,550
さえ,551
生まれる,552
当たる,553
思い,554
座る,555
助かる,556
そういえば,557
あり,558
難しい,559
用,560
働く,561
わあ,562
確認,563
おかげで,564
あはは,565
わけない,566
そうです,567
遊ぶ,568
家族,569
人たち,570
走る,571
用意,572
なんだか,573
いたす,574
あの人,575
説明,576
向こう,577
水,578
かしら,579
状況,580
行ける,581
手伝う,582
命,583
そうする,584
娘,585
あの子,586
様子,587
残す,588
一,589
あっち,590
毎日,591
どこか,592
とりあえず,593
どうせ,594
仲間,595
お母さん,596
これ以上,597
楽しむ,598
気をつける,599
嫌い,600
特に,601
なんと,602
認める,603
ン,604
人生,605
わね,606
若い,607
全員,608
結果,609
急ぐ,610
それで,611
近い,612
調べる,613
本気,614
何度,615
女の子,616
とする,617
ただいま,618
最高,619
本,620
恥ずかしい,621
起こす,622
そっか,623
でもない,624
近づく,625
謝る,626
完全,627
出てくる,628
突然,629
お父さん,630
当然,631
いきなり,632
大切,633
取れる,634
おっ,635
女性,636
現れる,637
休む,638
さらに,639
忙しい,640
っけ,641
進む,642
ありがとうございました,643
売る,644
まずい,645
正直,646
そんなもの,647
住む,648
切れる,649
おる,650
届く,651
電話,652
後,653
すでに,654
当たり前,655
わざわざ,656
やはり,657
胸,658
まずは,659
回る,660
喋る,661
何とか,662
かどうか,663
小さい,664
なし,665
マジ,666
くせに,667
ござる,668
いらっしゃる,669
対する,670
大好き,671
知らない,672
大体,673
冗談,674
ら,675
無事,676
戦う,677
歳,678
残念,679
関係ない,680
学校,681
噂,682
花,683
かなり,684
この人,685
こうする,686
なよ,687
方法,688
寂しい,689
そうだね,690
なり,691
んん,692
引く,693
行う,694
ちょ,695
周り,696
情報,697
っていう,698
でよ,699
いやあ,700
失う,701
ヤバい,702
お前ら,703
我々,704
不思議,705
答える,706
無駄,707
親,708
珍しい,709
狙う,710
久しぶり,711
状態,712
お,713
でもある,714
出会う,715
余計,716
そのまま,717
特別,718
着る,719
自分で,720
おお,721
店,722
感謝,723
腕,724
足りる,725
可能性,726
どうしよう,727
やだ,728
借りる,729
求める,730
お金,731
疲れる,732
集まる,733
甘い,734
気分,735
効く,736
後ろ,737
途中,738
一日,739
だよね,740
追う,741
けれど,742
与える,743
飛ぶ,744
金,745
生活,746
降りる,747
空,748
期待,749
深い,750
そもそも,751
ようにする,752
くそ,753
掴む,754
敵,755
数,756
いただける,757
起こる,758
貸す,759
眠る,760
代わり,761
ために,762
ど,763
理解,764
すいません,765
気に入る,766
あれ,767
参る,768
触る,769
気にする,770
素敵,771
今更,772
一応,773
相談,774
ほとんど,775
覚悟,776
落とす,777
先輩,778
魚,779
我慢,780
形,781
なさる,782
繋がる,783
となる,784
超える,785
海,786
意外,787
たまる,788
失敗,789
暮らす,790
大,791
によって,792
どんどん,793
危険,794
目的,795
やっぱ,796
増える,797
服,798
相変わらず,799
それが,800
どれ,801
熱い,802
暇,803
いろんな,804
やってみる,805
アーッ,806
写真,807
救う,808
やつら,809
たまに,810
ようだ,811
しょうがない,812
つい,813
部,814
父,815
隣,816
勉強,817
断る,818
勝手,819
限り,820
さて,821
結婚,822
時代,823
変わった,824
遅れる,825
それを,826
それとも,827
ん,828
似合う,829
件,830
１回,831
考え,832
ちょうど,833
なんでもない,834
もうすぐ,835
自由,836
風,837
目の前,838
いる,839
不安,840
奪う,841
瞬間,842
奥,843
間違う,844
誘う,845
詳しい,846
未来,847
想像,848
逆,849
ことにする,850
怪我,851
ぎゃあ,852
かもしれません,853
国,854
静か,855
光,856
山,857
いいから,858
的,859
他に,860
愛,861
紹介,862
血,863
はは,864
弱い,865
持ってくる,866
なので,867
うまくいく,868
バレる,869
それより,870
かっこいい,871
来てる,872
別れる,873
二度,874
いなくなる,875
小さな,876
一生,877
はっきり,878
愛する,879
元々,880
ほう,881
ようです,882
おかえり,883
格好,884
よろしくお願いします,885
おそらく,886
協力,887
楽,888
さっさと,889
予定,890
迷惑,891
おはよう,892
二人とも,893
首,894
日本,895
お互い,896
通る,897
重い,898
ご飯,899
遠い,900
お話,901
てる,902
報告,903
行動,904
事件,905
自信,906
集める,907
倒れる,908
着く,909
そいつ,910
さすがに,911
による,912
過ごす,913
っぽい,914
例えば,915
運ぶ,916
軽い,917
色,918
興味,919
消す,920
向ける,921
立派,922
絶対に,923
車,924
こんにちは,925
そば,926
記憶,927
本物,928
ありがと,929
失礼します,930
ケンカ,931
合わせる,932
楽しみ,933
頑張って,934
決して,935
離す,936
以前,937
あん,938
ど,939
動き,940
たって,941
素晴らしい,942
知れる,943
帰ってくる,944
側,945
必死,946
身,947
どうも,948
知り合い,949
間違い,950
笑顔,951
大人,952
ついに,953
むしろ,954
本人,955
大した,956
おかげ,957
秘密,958
望む,959
あああ,960
責任,961
います,962
これまで,963
そしたら,964
えらい,965
抜ける,966
今夜,967
利用,968
真似,969
すっごい,970
意識,971
ってのは,972
冷たい,973
お疲れさま,974
彼ら,975
押す,976
事実,977
払う,978
直接,979
早速,980
ＯＫ,981
厳しい,982
時に,983
答え,984
受け取る,985
返事,986
過去,987
どの,988
触れる,989
間に合う,990
ついてる,991
でかい,992
打つ,993
とも,994
よろしい,995
平気,996
程度,997
お礼,998
料理,999
裏,1000
一瞬,1001
美しい,1002
一本,1003
少ない,1004
第一,1005
空気,1006
一年,1007
反応,1008
番,1009
目指す,1010
円,1011
食事,1012
避ける,1013
ぜひ,1014
張る,1015
外す,1016
たとえ,1017
真面目,1018
んな,1019
悲しい,1020
実,1021
自身,1022
正しい,1023
舐める,1024
いただきます,1025
やあ,1026
チッ,1027
なんじゃ,1028
何もない,1029
匂い,1030
せめて,1031
どうやら,1032
素直,1033
苦しい,1034
構う,1035
ふう,1036
今年,1037
かなう,1038
ふる,1039
話をする,1040
事情,1041
ふう,1042
隠れる,1043
耐える,1044
うう,1045
成功,1046
向く,1047
あのさ,1048
今すぐ,1049
びっくり,1050
硬い,1051
つらい,1052
ようやく,1053
一言,1054
なんだって,1055
